"TOPIC","IDDOCUMENT","EXPERIENCE_NUMBER","BIOMASS_QTY","QUANTITY_MATTER","GLUCOSE_RATE_MIN","GLUCOSE_RATE_MAX","GLUCOSE_YIELD_MIN","GLUCOSE_YIELD_MAX","RELIABILITY_MIN","RELIABILITY_MAX"
"Bioref-PM","1273","1.000e+0","1.0","100.0","0.4522","0.4522","0.1","0.434","0.63","0.98"
"Bioref-PM","1271","1.000e+0","1.0","20.0","0.5333","0.56","0.2142","0.225","0.66","0.99"
"Bioref-PM","1272","1.000e+0","1.0","10.0","0.4633","0.4633","0.2636","0.2636","0.2","1.0"
"Bioref-PM-UFM","1274","1.000e+0","1.0","50.0","0.3625","0.3625","0.3035","0.3035","0.62","0.96"
"Bioref-PM-UFM","1225","1.000e+0","1.0","16.6667","0.5103","0.5103","0.487","0.557","0.3","1.0"
"Bioref-PM-UFM","1225","2.000e+0","1.0","16.6667","0.5103","0.5103","0.655","0.665","0.3","1.0"
"Bioref-PM-UFM","1225","3.000e+0","1.0","16.6667","0.5103","0.5103","0.754","0.764","0.3","1.0"
"Bioref-PM-UFM","1225","4.000e+0","1.0","16.6667","0.5103","0.5103","0.874","0.914","0.3","1.0"
"Bioref-PM-UFM","1225","5.000e+0","1.0","16.6667","0.5103","0.5103","0.462","0.474","0.3","1.0"
"Bioref-PM-UFM","1225","6.000e+0","1.0","16.6667","0.5103","0.5103","0.419","0.573","0.3","1.0"
"Bioref-PM-UFM","1225","7.000e+0","1.0","16.6667","0.5103","0.5103","0.525","0.663","0.3","1.0"
"Bioref-PM-UFM","1225","8.000e+0","1.0","16.6667","0.5103","0.5103","0.729","0.841","0.3","1.0"
